Timestamp,Audio_Cheat
0,0
0.04,0
0.08,0
0.12,0
0.16,0
0.2,1
0.24,1
0.28,0
0.32,0
0.36,0
0.4,0
0.44,0
0.48,1
0.52,0
0.56,0
0.6,0
0.64,0
0.68,1
0.72,0
0.76,0
0.8,1
0.84,0
0.88,1
0.92,0
0.96,0
1,0
1.04,0
1.08,0
1.12,1
1.16,0
1.2,0
1.24,0
1.28,0
1.32,0
1.36,0
1.4,0
1.44,0
1.48,0
1.52,1
1.56,1
1.6,0
1.64,0
1.68,0
1.72,0
1.76,1
1.8,0
1.84,0
1.88,0
1.92,0
1.96,1
2,0
2.04,0
2.08,0
2.12,0
2.16,0
2.2,0
2.24,0
2.28,0
2.32,0
2.36,0
2.4,0
2.44,0
2.48,0
2.52,0
2.56,0
2.6,0
2.64,0
2.68,0
2.72,0
2.76,0
2.8,0
2.84,0
2.88,0
2.92,0
2.96,0
3,1
3.04,1
3.08,0
3.12,0
3.16,0
3.2,0
3.24,1
3.28,0
3.32,0
3.36,0
3.4,0
3.44,0
3.48,1
3.52,1
3.56,0
3.6,0
3.64,0
3.68,0
3.72,0
3.76,0
3.8,0
3.84,0
3.88,0
3.92,0
3.96,0
4,0
4.04,0
4.08,0
4.12,0
4.16,0
4.2,0
4.24,0
4.28,0
4.32,0
4.36,1
4.4,0
4.44,0
4.48,0
4.52,0
4.56,0
4.6,0
4.64,0
4.68,0
4.72,0
4.76,0
4.8,0
4.84,0
4.88,0
4.92,0
4.96,1
5,0
5.04,0
5.08,0
5.12,0
5.16,0
5.2,0
5.24,0
5.28,0
5.32,0
5.36,0
5.4,1
5.44,1
5.48,0
5.52,0
5.56,0
5.6,0
5.64,0
5.68,0
5.72,0
5.76,0
5.8,0
5.84,0
5.88,0
5.92,0
5.96,0
6,0
6.04,0
6.08,1
6.12,0
6.16,0
6.2,0
6.24,0
6.28,0
6.32,0
6.36,0
6.4,0
6.44,0
6.48,0
6.52,0
6.56,0
6.6,0
6.64,0
6.68,0
6.72,0
6.76,0
6.8,0
6.84,0
6.88,0
6.92,0
6.96,0
7,0
7.04,0
7.08,0
7.12,0
7.16,0
7.2,0
7.24,0
7.28,0
7.32,0
7.36,1
7.4,0
7.44,0
7.48,0
7.52,0
7.56,0
7.6,0
7.64,0
7.68,0
7.72,0
7.76,0
7.8,0
7.84,0
7.88,0
7.92,0
7.96,0
8,0
8.04,0
8.08,0
8.12,0
8.16,0
8.2,0
8.24,1
8.28,0
8.32,0
8.36,0
8.4,0
8.44,0
8.48,0
8.52,0
8.56,0
8.6,0
8.64,0
8.68,0
8.72,0
8.76,0
8.8,0
8.84,0
8.88,0
8.92,0
8.96,0
9,0
9.04,0
9.08,0
9.12,0
9.16,0
9.2,0
9.24,0
9.28,0
9.32,0
9.36,0
9.4,0
9.44,0
9.48,0
9.52,0
9.56,0
9.6,0
9.64,0
9.68,0
9.72,0
9.76,0
